hour_index,timestamp,source_chunk,max_branch_pf_error_mw,max_bus_angle_error_deg,max_result_pg_error_mw,max_released_operator_error_mw,max_corrected_operator_error_mw,max_independent_nodal_residual_mw,reference_angle_error_deg,max_active_rated_branch_overload_mw,replay_passed
8249,2019-12-10T16:00:00,annual_4.mat,6.536993168992922e-12,2.2737367544323206e-13,2.9558577807620168e-12,6.59383658785373e-12,8.412825991399586e-12,6.991740519879386e-12,0.0,697.6083234073348,True
8250,2019-12-10T17:00:00,annual_4.mat,6.0254023992456496e-12,1.9895196601282805e-13,8.640199666842818e-12,6.139089236967266e-12,9.094947017729282e-12,4.206412995699793e-12,0.0,749.1297880575194,True
8251,2019-12-10T18:00:00,annual_4.mat,6.536993168992922e-12,1.7053025658242404e-13,9.208633855450898e-12,7.048583938740194e-12,7.275957614183426e-12,8.810729923425242e-12,0.0,749.3848240574162,True
8252,2019-12-10T19:00:00,annual_4.mat,5.002220859751105e-12,1.7053025658242404e-13,5.343281372915953e-12,5.229594535194337e-12,3.637978807091713e-12,8.597567102697212e-12,0.0,706.1415234566794,True
8253,2019-12-10T20:00:00,annual_4.mat,5.7980287238024175e-12,1.8474111129762605e-13,5.229594535194337e-12,4.547473508864641e-12,4.774847184307873e-12,7.247535904753022e-12,0.0,575.05320942822,True
8254,2019-12-10T21:00:00,annual_4.mat,5.229594535194337e-12,2.5579538487363607e-13,8.981260180007666e-12,6.59383658785373e-12,7.275957614183426e-12,4.746425474877469e-12,0.0,457.27523090696275,True
8255,2019-12-10T22:00:00,annual_4.mat,5.5706550483591855e-12,1.9895196601282805e-13,6.934897101018578e-12,6.764366844436154e-12,5.9117155615240335e-12,6.139089236967266e-12,0.0,381.0830660533743,True
8256,2019-12-10T23:00:00,annual_4.mat,5.229594535194337e-12,2.5579538487363607e-13,7.275957614183426e-12,5.6843418860808015e-12,8.185452315956354e-12,6.0538241086760536e-12,0.0,406.8537941907273,True
8257,2019-12-11T00:00:00,annual_4.mat,4.860112312599085e-12,2.4158453015843406e-13,8.640199666842818e-12,6.821210263296962e-12,7.275957614183426e-12,2.2453150450019166e-12,0.0,307.18107932890393,True
8258,2019-12-11T01:00:00,annual_4.mat,5.002220859751105e-12,1.2789769243681803e-13,6.707523425575346e-12,4.774847184307873e-12,5.002220859751105e-12,5.9401372709544376e-12,0.0,266.7596099219022,True
8259,2019-12-11T02:00:00,annual_4.mat,7.332801033044234e-12,1.5631940186722204e-13,6.764366844436154e-12,5.4569682106375694e-12,5.4569682106375694e-12,6.480149750132114e-12,0.0,222.11491331218974,True
8260,2019-12-11T03:00:00,annual_4.mat,4.774847184307873e-12,1.1368683772161603e-13,3.069544618483633e-12,4.547473508864641e-12,4.774847184307873e-12,5.229594535194337e-12,0.0,206.9254291455544,True
8261,2019-12-11T04:00:00,annual_4.mat,7.048583938740194e-12,1.7053025658242404e-13,5.4569682106375694e-12,5.6843418860808015e-12,8.640199666842818e-12,6.0822458181064576e-12,0.0,201.05211410916127,True
8262,2019-12-11T05:00:00,annual_4.mat,4.831690603168681e-12,1.8474111129762605e-13,7.73070496506989e-12,5.9117155615240335e-12,5.9117155615240335e-12,4.973799150320701e-12,0.0,339.23544794552777,True
8263,2019-12-11T06:00:00,annual_4.mat,4.263256414560601e-12,1.7053025658242404e-13,5.229594535194337e-12,5.002220859751105e-12,7.275957614183426e-12,6.139089236967266e-12,0.0,383.7607026725766,True
8264,2019-12-11T07:00:00,annual_4.mat,4.547473508864641e-12,1.4210854715202004e-13,9.549694368615746e-12,4.547473508864641e-12,8.29913915367797e-12,2.8990143619012088e-12,0.0,557.5976918494927,True
8265,2019-12-11T08:00:00,annual_4.mat,6.139089236967266e-12,1.9895196601282805e-13,8.185452315956354e-12,5.6843418860808015e-12,8.185452315956354e-12,8.284928298962768e-12,0.0,667.895967876784,True
8266,2019-12-11T09:00:00,annual_4.mat,3.751665644813329e-12,1.2789769243681803e-13,7.275957614183426e-12,5.6843418860808015e-12,6.59383658785373e-12,4.277467269275803e-12,0.0,603.6510210603719,True
8267,2019-12-11T10:00:00,annual_4.mat,6.423306331271306e-12,1.9895196601282805e-13,5.6843418860808015e-12,4.547473508864641e-12,6.366462912410498e-12,8.15703060652595e-12,0.0,666.1954558528494,True
8268,2019-12-11T11:00:00,annual_4.mat,7.560174708487466e-12,1.9895196601282805e-13,6.707523425575346e-12,6.821210263296962e-12,5.9117155615240335e-12,7.048583938740194e-12,0.0,664.0626424147677,True
8269,2019-12-11T12:00:00,annual_4.mat,4.718003765447065e-12,1.9895196601282805e-13,9.322320693172514e-12,7.275957614183426e-12,7.16227077646181e-12,7.815970093361102e-12,0.0,719.128258688808,True
8270,2019-12-11T13:00:00,annual_4.mat,5.7980287238024175e-12,1.7053025658242404e-13,6.0254023992456496e-12,5.9117155615240335e-12,7.275957614183426e-12,9.322320693172514e-12,0.0,705.8452830306791,True
8271,2019-12-11T14:00:00,annual_4.mat,5.6843418860808015e-12,1.5631940186722204e-13,6.821210263296962e-12,6.139089236967266e-12,9.094947017729282e-12,8.355982572538778e-12,0.0,621.3041301098812,True
8272,2019-12-11T15:00:00,annual_4.mat,6.59383658785373e-12,1.1368683772161603e-13,5.229594535194337e-12,5.9117155615240335e-12,4.661160346586257e-12,5.7696070143720135e-12,0.0,702.7915505148578,True
8273,2019-12-11T16:00:00,annual_4.mat,5.4001247917767614e-12,2.5579538487363607e-13,9.322320693172514e-12,6.821210263296962e-12,1.1141310096718371e-11,3.694822225952521e-12,0.0,785.9110182322811,True
8274,2019-12-11T17:00:00,annual_4.mat,5.9117155615240335e-12,1.9895196601282805e-13,3.865352482534945e-12,4.092726157978177e-12,7.503331289626658e-12,4.092726157978177e-12,0.0,692.263307357324,True
8275,2019-12-11T18:00:00,annual_4.mat,6.622258297284134e-12,2.2737367544323206e-13,6.252776074688882e-12,6.821210263296962e-12,9.094947017729282e-12,7.702283255639486e-12,0.0,715.7898174307684,True
8276,2019-12-11T19:00:00,annual_4.mat,5.7980287238024175e-12,2.2737367544323206e-13,6.934897101018578e-12,5.4569682106375694e-12,8.412825991399586e-12,6.0822458181064576e-12,0.0,733.1661204642628,True
8277,2019-12-11T20:00:00,annual_4.mat,7.958078640513122e-12,1.9895196601282805e-13,3.296918293926865e-12,5.8548721426632255e-12,6.0254023992456496e-12,8.44124770082999e-12,0.0,728.3341148186255,True
8278,2019-12-11T21:00:00,annual_4.mat,4.035882739117369e-12,2.2737367544323206e-13,8.185452315956354e-12,5.4569682106375694e-12,7.73070496506989e-12,4.135358722123783e-12,0.0,618.4058211083795,True
8279,2019-12-11T22:00:00,annual_4.mat,3.637978807091713e-12,1.4210854715202004e-13,4.547473508864641e-12,2.7284841053187847e-12,7.958078640513122e-12,4.860112312599085e-12,0.0,513.2514754788182,True
