TimeStamp,interface,FlowMWH,PositiveLimitMWH,NegativeLimitMWH,sample_count,distinct_timestamp_count,FlowMWH_unimputed,FlowMWH_finite_samples,FlowMWH_imputed,PositiveLimitMWH_unimputed,PositiveLimitMWH_finite_samples,PositiveLimitMWH_imputed,NegativeLimitMWH_unimputed,NegativeLimitMWH_finite_samples,NegativeLimitMWH_imputed,PositiveLimitMWH_sentinel_samples,NegativeLimitMWH_sentinel_samples,spring_dst_missing_hour,fall_dst_ambiguous_hour,filter_unimputed_unambiguous_hour,filter_unimputed_unambiguous_exactly_12_unique_samples,InterfaceName
2019-07-25 03:00:00,Central East,2289.725,2475.0,-9999.0,12,12,2289.725,12,False,2475.0,12,False,-9999.0,12,False,0,12,False,False,True,True,CENTRAL EAST - VC
2019-07-25 03:00:00,Dun/SPR-South,3431.205,4350.0,-9999.0,12,12,3431.205,12,False,4350.0,12,False,-9999.0,12,False,0,12,False,False,True,True,SPR/DUN-SOUTH
2019-07-25 03:00:00,Dysinger East,851.918333333333,3150.0,-9999.0,12,12,851.918333333333,12,False,3150.0,12,False,-9999.0,12,False,0,12,False,False,True,True,DYSINGER EAST
2019-07-25 03:00:00,Moses South,1988.025,3150.0,-1600.0,12,12,1988.025,12,False,3150.0,12,False,-1600.0,12,False,0,0,False,False,True,True,MOSES SOUTH
2019-07-25 03:00:00,Total East,3964.29833333333,6800.0,-9999.0,12,12,3964.29833333333,12,False,6800.0,12,False,-9999.0,12,False,0,12,False,False,True,True,TOTAL EAST
2019-07-25 03:00:00,UpNY-Coned,2723.29083333333,5700.0,-9999.0,12,12,2723.29083333333,12,False,5700.0,12,False,-9999.0,12,False,0,12,False,False,True,True,UPNY CONED
2019-07-25 03:00:00,West Central,522.949166666667,9999.0,-9999.0,12,12,522.949166666667,12,False,9999.0,12,False,-9999.0,12,False,12,12,False,False,True,True,WEST CENTRAL
2019-09-02 13:00:00,Central East,2479.8925,2755.0,-9999.0,12,12,2479.8925,12,False,2755.0,12,False,-9999.0,12,False,0,12,False,False,True,True,CENTRAL EAST - VC
2019-09-02 13:00:00,Dun/SPR-South,3041.89333333333,4350.0,-9999.0,12,12,3041.89333333333,12,False,4350.0,12,False,-9999.0,12,False,0,12,False,False,True,True,SPR/DUN-SOUTH
2019-09-02 13:00:00,Dysinger East,944.015,3150.0,-9999.0,12,12,944.015,12,False,3150.0,12,False,-9999.0,12,False,0,12,False,False,True,True,DYSINGER EAST
2019-09-02 13:00:00,Moses South,2070.21666666667,3150.0,-1600.0,12,12,2070.21666666667,12,False,3150.0,12,False,-1600.0,12,False,0,0,False,False,True,True,MOSES SOUTH
2019-09-02 13:00:00,Total East,4438.125,6800.0,-9999.0,12,12,4438.125,12,False,6800.0,12,False,-9999.0,12,False,0,12,False,False,True,True,TOTAL EAST
2019-09-02 13:00:00,UpNY-Coned,2553.40833333333,5700.0,-9999.0,12,12,2553.40833333333,12,False,5700.0,12,False,-9999.0,12,False,0,12,False,False,True,True,UPNY CONED
