control_key,device_key,source_bus,source_control_role,canonical_enabled,regulated_bus,setpoint_pu,qmin_mvar,qmax_mvar,bounds_are_placeholder,recommended_treatment,raw_regulated_bus,raw_remote_control_omitted
PERFORM2019:GEN:600:1:CONTROL,PERFORM2019:GEN:600:1,600,offline_generator_control,0,600,1.02,-0.1,0.1,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,600,0
PERFORM2019:GEN:600:2:CONTROL,PERFORM2019:GEN:600:2,600,offline_generator_control,0,600,1.02,-0.1,0.1,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,600,0
PERFORM2019:GEN:600:3:CONTROL,PERFORM2019:GEN:600:3,600,offline_generator_control,0,600,1.02,-0.1,0.1,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,600,0
PERFORM2019:GEN:600:4:CONTROL,PERFORM2019:GEN:600:4,600,offline_generator_control,0,600,1.02,-0.2,0.2,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,600,0
PERFORM2019:GEN:600:5:CONTROL,PERFORM2019:GEN:600:5,600,offline_generator_control,0,600,1.02,-0.3,0.4,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,600,0
PERFORM2019:GEN:600:6:CONTROL,PERFORM2019:GEN:600:6,600,offline_generator_control,0,600,1.02,-0.3,0.4,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,600,0
PERFORM2019:GEN:600:7:CONTROL,PERFORM2019:GEN:600:7,600,offline_generator_control,0,600,1.02,-0.3,0.4,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,600,0
PERFORM2019:GEN:600:8:CONTROL,PERFORM2019:GEN:600:8,600,offline_generator_control,0,600,1.02,-0.3,0.4,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,600,0
PERFORM2019:GEN:600:9:CONTROL,PERFORM2019:GEN:600:9,600,offline_generator_control,0,600,1.02,-0.6,0.7,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,600,0
PERFORM2019:GEN:600:10:CONTROL,PERFORM2019:GEN:600:10,600,offline_generator_control,0,600,1.02,-0.8,1,0,retain_native_P_Q_bounds_status_and_explicit_voltage_policy,600,0
