public_scenario_id,eta,status,opf_success,opf_raw_info,objective,total_load_mw,total_generation_mw,losses_mw,boundary_equiv_pg_mw,min_voltage,max_voltage,voltage_upper_bound_count,voltage_lower_bound_count,rate_a_overload_count,max_rate_a_overload_mva,total_east_proxy_flow_mw,upny_coned_flow_mw,dunwoodie_south_flow_mw,note
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0.3,ok,0,0,259780.496061769,10902.2197987,11458.0613319979,555.841533297857,-789.921379077722,0.900673307951559,1.09998665572812,0,0,1,0.0146398217052592,2487.57149361647,2184.65119117537,188.451769717266,
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0.4,ok,0,0,258604.264951104,10902.2197987,11047.47009194,145.250293240035,-683.899930165747,0.900002877497048,1.1,12,1,0,0,2495.73742168592,2079.42282571219,529.816420610259,
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0.5,ok,0,0,265306.421170781,10902.2197987,10601.6233390655,-300.596459634493,-577.878481253772,0.972538558832155,1.1,12,0,0,0,2497.79689522001,1968.69420806839,871.907674440861,
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0.6,ok,0,0,265871.029983351,10902.2197987,10207.3698035292,-694.84999517076,-471.857032341797,0.993538416925914,1.1,12,0,0,2.86627255263738e-09,2498.57453609422,1855.018013347,1214.45005264203,
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0.7,ok,0,0,268407.95185111,10902.2197987,9800.17369742576,-1102.04610127424,-365.83558342982,0.971818947316976,1.1,12,0,0,1.90084392670542e-08,2499.00614231922,1740.27870445362,1557.39000182974,
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0.8,ok,0,0,269976.498322519,10902.2197987,9415.66100364638,-1486.55879505362,-259.814134517843,0.954721611667143,1.1,12,0,0,1.90275386557914e-08,2499.2117446421,1624.75703289012,1900.72766495748,
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0.9,ok,0,0,265910.574412076,10902.2197987,8979.81756802977,-1922.40223067023,-153.792685605867,0.979701943542979,1.1,12,0,0,1.903708835016e-08,2499.24242443519,1508.59766185979,2244.47582701107,
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,ok,0,0,268179.10568501,10902.2197987,8563.3454635212,-2338.8743351788,-47.771236693892,0.999959116696685,1.1,11,0,0,1.70098246599082e-08,2498.55716591621,1390.77992991847,2588.77703362142,
S5_2025_HIGH_TOTAL_EAST_PUBLIC,0,ok,1,1,233621.226055594,10902.2197987,11186.3698611801,284.150062480072,-1107.98572581365,1.0043026916133,1.1,10,0,0,0,1379.29602561692,1524.50919710805,-835.348702243392,
S5_2025_HIGH_TOTAL_EAST_PUBLIC,0.1,ok,1,1,232559.710040103,10902.2197987,11279.6360086826,377.416209982555,-955.181189032265,1.01472355766542,1.1,12,0,0,0,1755.32458990572,1754.99796272061,-496.199053044119,
S5_2025_HIGH_TOTAL_EAST_PUBLIC,0.2,ok,1,1,233893.858277417,10902.2197987,11400.348958817,498.129160117014,-802.376652250879,1.0001942735062,1.1,14,0,0,6.32647925158381e-08,2020.2136309344,1874.49903481551,-156.631793265005,
S5_2025_HIGH_TOTAL_EAST_PUBLIC,0.3,ok,0,0,258741.880564485,10902.2197987,11488.202923039,585.983124339022,-649.572115469492,0.9,1.1,15,2,0,0,2473.93549368994,2152.53444402643,182.625259826537,
