case_id,scenario_id,external_interface_name,gen_index,bus_id,pg_mw,qg_mvar,target_q_mvar,q_deviation_mvar,qmin_mvar,qmax_mvar,at_qmin,at_qmax
PERFORM_Q_TEMP_SUPPORT_VPENALTY,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,OH_NY_NIAGARA,39,54,406.012236517478,567.342318165598,101.756508871492,465.585809294106,-750,750,0,0
PERFORM_Q_TEMP_SUPPORT_VPENALTY,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_WATERCURE,40,66,-27.6450101593817,-12.6222607419196,-6.92824201780835,-5.69401872411127,-750,750,0,0
PERFORM_Q_TEMP_SUPPORT_VPENALTY,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_WRHL,41,67,-11.8484329254493,31.3308769782409,-2.96924657906072,34.3001235573017,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VPENALTY,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_RAMAPO,42,75,-19.7467215424155,116.010866965264,-4.94874429843453,120.959611263698,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_VPENALTY,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_GOETHALS,43,81,-19.7467215424155,166.906291041751,-4.94874429843453,171.855035340186,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_NO_RATINGS,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,HQ_NY_MOSES,36,48,-482.985326926283,213.010476721191,-121.047533070407,334.058009791598,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_NO_RATINGS,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,NE_NY_NORTHFIELD,37,37,95.3038471680902,-246.679393401062,23.8853956683908,-270.564789069453,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_NO_RATINGS,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,NE_NY_PV,38,73,142.955770869399,235.585175878695,35.8280935025862,199.757082376109,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_NO_RATINGS,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,OH_NY_NIAGARA,39,54,406.013236246377,744.779095998758,101.756508871492,643.022587127266,-750,750,0,0
PERFORM_Q_TEMP_SUPPORT_NO_RATINGS,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_WATERCURE,40,66,-27.6440104621541,280.819326285408,-6.92824201780835,287.747568303216,-750,750,0,0
PERFORM_Q_TEMP_SUPPORT_NO_RATINGS,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_WRHL,41,67,-11.8474332294427,260.806185260041,-2.96924657906072,263.775431839102,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_NO_RATINGS,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_RAMAPO,42,75,-19.7457218931863,499.481996733333,-4.94874429843453,504.430741031768,-500,500,0,0
PERFORM_Q_TEMP_SUPPORT_NO_RATINGS,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,PJM_NY_GOETHALS,43,81,-19.7457219020949,-468.730741088769,-4.94874429843453,-463.781996790335,-500,500,0,0
