case_id,check_group,scenario_id,zone_j_pmax_mw,voltage_penalty_rho,zone,load_mw,local_pg_excluding_boundary_mw,boundary_equiv_pg_mw,s4_equiv_pg_mw,zone_j_equiv_pg_mw,local_pmax_excluding_boundary_mw,local_net_injection_mw
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,3500,0,B,505.285153437801,288.8,0,0,0,288.8,-216.485153437801
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,3500,0,C,901.170089087343,2511.2,-39.489443084831,0,0,2511.2,1610.02991091266
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,3500,0,D,525.499765020787,984.9807077,-482.984326633401,0,0,984.9807077,459.480942679213
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,3500,0,E,310.722794351992,0,0,0,0,600,-310.722794351992
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,3500,0,F,607.181454913555,568.003995,95.3048474725107,0,0,2168.003995,-39.1774599135551
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,3500,0,G,477.380725475773,83.8358381850515,123.212049666351,83.8358381850515,0,2200,-393.544887290722
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,3500,0,H,201.257521397288,0,0,0,0,0,-201.257521397288
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,3500,0,I,524.487960045707,0,0,0,0,565.099092,-524.487960045707
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,3500,0,J,4368.0500990318,4377.83603858436,-19.7447215424155,0,3180.75857858436,4697.07746,9.78593955255747
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,3500,0,K,1236.31883136526,810.376600772966,0,225.447258772966,0,2384.929342,-425.942230592295
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,3500,0,A,933.986786519434,1292.8,-124.719673034239,0,0,1292.8,358.813213480566
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,3500,0,B,618.641960022222,288.8,0,0,0,288.8,-329.841960022222
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,3500,0,C,860.171569150202,2511.2,-86.530718496955,0,0,2511.2,1651.0284308498
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,3500,0,D,168.972029516236,974.35127262314,519.760084611275,0,0,984.9807077,805.379243106904
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,3500,0,E,415.391998103143,0,0,0,0,600,-415.391998103143
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,3500,0,F,752.205742431129,568.003995,-107.896684510807,0,0,2168.003995,-184.201747431129
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,3500,0,G,810.88521680194,224.104268325245,-205.110886014689,224.104268325245,0,2200,-586.780948476695
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,3500,0,H,230.237430792078,0,0,0,0,0,-230.237430792078
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,3500,0,I,492.648737521584,0,0,0,0,565.099092,-492.648737521584
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,3500,0,J,3733.8359205215,4445.93937891658,-43.2653592484775,0,3248.86191891658,4697.07746,712.103458395076
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,3500,0,K,1885.24240732053,1071.90696363565,0,486.977621635654,0,2384.929342,-813.335443684877
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S5_2025_HIGH_TOTAL_EAST_PUBLIC,3500,0,A,829.945765539073,1292.8,367.194854523768,0,0,1292.8,462.854234460927
S4_CAND_zone_j_cap_sensitivity_JPMAX3500_VRHO0,zone_j_cap_sensitivity,S5_2025_HIGH_TOTAL_EAST_PUBLIC,3500,0,B,591.832125251815,288.8,0,0,0,288.8,-303.032125251815
