scenario_id,variant,ratings_relaxed,voltage_relaxed,status,model,opf_success,opf_raw_info,objective,total_load_mw,total_generation_mw,generation_minus_load_mw,boundary_equiv_pg_mw,min_voltage,max_voltage,above_original_vmax_count,below_original_vmin_count,at_solver_vmax_count,at_solver_vmin_count,original_rate_overload_count,max_original_rate_overload_mva,solver_rate_overload_count,max_solver_rate_overload_mva,total_east_proxy_flow_mw,upny_coned_flow_mw,dunwoodie_south_flow_mw,note
S5_2025_HIGH_TOTAL_EAST_PUBLIC,DCOPF_IPOPT_NO_RATINGS,1,0,ok,DC,1,1,179831.11835668,10902.2197987,10902.2196848271,-0.000113872942165472,420.067642000211,1,1,0,0,0,0,13,4882.26125388657,0,0,7382.26125388657,6301.28565326625,3762.11555939126,
S5_2025_HIGH_TOTAL_EAST_PUBLIC,ACOPF_NORMAL,0,0,ok,AC,0,0,264905.449759778,10902.2197987,8634.9121007719,-2267.30769792809,420.064669151244,0.969974009589066,1.1,0,0,13,0,0,1.90270839084405e-08,0,1.90270839084405e-08,2499.87092742535,1324.61411577216,2573.77913524048,
S5_2025_HIGH_TOTAL_EAST_PUBLIC,ACOPF_NO_RATINGS,1,0,ok,AC,0,0,262022.505553908,10902.2197987,8974.57461758706,-1927.64518111294,420.064546131736,0.964661043578813,1.1,0,0,11,0,1,253.560123440945,0,0,2749.6235711385,1537.94774898139,2574.295557385,
S5_2025_HIGH_TOTAL_EAST_PUBLIC,ACOPF_RELAXED_V,0,1,ok,AC,0,0,256094.826609329,10902.2197987,8577.82051302218,-2324.39928567782,420.062641773866,1.12951307524624,1.5,46,0,4,0,0,0,0,0,2499.97334946006,1373.6035612853,2569.63214034647,
S5_2025_HIGH_TOTAL_EAST_PUBLIC,ACOPF_RELAXED_V_NO_RATINGS,1,1,ok,AC,0,0,291928.729488231,10902.2197987,11658.7161590183,756.49636031831,420.065642000211,1.23565345025031,1.5,46,0,17,0,6,2611.91840425413,0,0,5094.66048400964,3734.3881453253,2570.45539540659,
S6_2025_LOW_TOTAL_EAST_PUBLIC,DCOPF_MIPS,0,0,ok,DC,0,-1,221067.691153432,10902.2197987,9754.85623760391,-1147.36356109609,-192.86466944701,1,1,0,0,0,0,0,0,0,0,2499.99298181358,2171.01896816163,1567.12054407279,
S6_2025_LOW_TOTAL_EAST_PUBLIC,DCOPF_IPOPT,0,0,ok,DC,0,0,236870.480092984,10902.2197987,9340.96830989469,-1561.25148880531,-389.21206848943,1,1,0,0,0,0,1,2.49992694989487e-05,1,2.49992694989487e-05,2500.00002499927,1963.24905607843,2457.35263858524,
S6_2025_LOW_TOTAL_EAST_PUBLIC,DCOPF_IPOPT_NO_RATINGS,1,0,ok,DC,1,1,200979.275667358,10902.2197987,10902.2196773195,-0.000121380457130726,-389.207064635113,1,1,0,0,0,0,11,3908.35740740061,0,0,6408.35740740061,5871.60643847834,3654.43011255134,
S6_2025_LOW_TOTAL_EAST_PUBLIC,ACOPF_NORMAL,0,0,ok,AC,0,0,269134.465365054,10902.2197987,9545.67196409673,-1356.54783460327,-389.210070691553,0.949145650228372,1.1,0,0,13,0,0,1.42090357257985e-08,0,1.42090357257985e-08,2498.04727064263,1872.96115596496,2465.12790929077,
S6_2025_LOW_TOTAL_EAST_PUBLIC,ACOPF_NO_RATINGS,1,0,ok,AC,0,0,289460.707647127,10902.2197987,10373.6580582652,-528.561740434783,-389.211804634913,0.9,1.1,0,0,16,1,2,585.870883440024,0,0,3053.92343895793,2334.69640572383,2465.97426751321,
S6_2025_LOW_TOTAL_EAST_PUBLIC,ACOPF_RELAXED_V,0,1,ok,AC,0,0,264291.655365787,10902.2197987,9533.43072903276,-1368.78906966724,-389.212062666567,1.06860426419861,1.5,45,0,5,0,0,0,0,0,2499.91014621156,1917.7349074075,2461.49313836167,
S6_2025_LOW_TOTAL_EAST_PUBLIC,ACOPF_RELAXED_V_NO_RATINGS,1,1,ok,AC,1,1,230813.362175581,10902.2197987,11732.7574816199,830.537682919912,-389.207064635113,1.41060922690766,1.5,46,0,17,0,4,1900.68995213169,0,0,4398.84760479193,3701.78535129381,2461.51898317716,
