device_key,source_bus,model_bus,status,source_reference_vg_pu,mapped_vg_pu,policy,raw_remote_control_omitted
PERFORM2019:GEN:212:1,212,53,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:212:2,212,53,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:212:3,212,53,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:212:4,212,53,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:212:5,212,53,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:212:6,212,53,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:212:7,212,53,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:212:8,212,53,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:212:9,212,53,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:212:10,212,53,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:212:11,212,53,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:234:1,234,57,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:234:C1,234,57,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:250:1,250,53,1,1.01226566318327,1.03742564535252,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:250:2,250,53,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:250:3,250,53,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:250:4,250,53,1,1.01226566318327,1.03742564535252,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:250:5,250,53,1,1.01226566318327,1.03742564535252,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:250:6,250,53,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:250:7,250,53,1,1.01226566318327,1.03742564535252,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:250:8,250,53,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:250:9,250,53,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:250:10,250,53,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:250:11,250,53,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:284:1,284,56,1,1.01241076012648,1.01127646398436,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:284:2,284,56,1,1.01241076012648,1.01127646398436,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:317:C1,317,56,1,1.01156193372953,1.01127646398436,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:339:1,339,72,1,1.01595296630512,1.02358092047438,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:357:1,357,51,1,1.04853115497173,1.04853115497173,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:358:C3,358,50,1,1.04831419151706,1.04818163385514,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:358:C4,358,50,1,1.04831419151706,1.04818163385514,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:368:1,368,20368,1,1.00708479008194,1.00708479008194,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:378:1,378,20378,1,1.01861849177197,1.01861849177197,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:378:2,378,20378,1,1.01861849177197,1.01861849177197,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:378:3,378,20378,1,1.01861849177197,1.01861849177197,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:381:1,381,20381,0,1.02,1.02,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:381:C1,381,20381,1,1.00493730989744,1.00493730989744,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:395:1,395,20395,1,1.05958116216181,1.05958116216181,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:395:2,395,20395,1,1.05958116216181,1.05958116216181,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:395:3,395,20395,1,1.05958116216181,1.05958116216181,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:395:4,395,20395,1,1.05958116216181,1.05958116216181,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:399:1,399,20399,1,0.998716447544054,0.998716447544054,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:405:1,405,20405,1,1.01596883086721,1.01596883086721,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:406:1,406,20406,1,1.01689907828367,1.01689907828367,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:407:1,407,20407,1,1.0162692245485,1.0162692245485,local_PV_common_terminal_Q_span_weighted_reference_prior,0
PERFORM2019:GEN:408:1,408,20408,1,1.01641885338996,1.01641885338996,local_PV_common_terminal_Q_span_weighted_reference_prior,0
