model_gen_row,device_key,source_gen_row,source_bus,model_bus,source_device_role,zone,mapping_kind,status,prior_pg_mw,prior_qg_mvar,pmin_mw,pmax_mw,qmin_mvar,qmax_mvar,bounded_pg_mw,bounded_qg_mvar,replay_pg_mw,replay_qg_mvar,pg_movement_mw,qg_movement_mvar
42,PERFORM2019:GEN:30:1,43,30,68,native_generation,C,assumed_same_zone_source_distance_aggregation,1,4.06741263449377,0.0617033429883953,0,4.1,-2.3,2.7,4.06741407231332,0.296045014089402,4.06741407231332,1.27732171340005,1.43781955053157e-06,1.21561837041166
43,PERFORM2019:GEN:30:2,44,30,68,native_generation,C,assumed_same_zone_source_distance_aggregation,1,55.0490495855682,-15.7607385943493,0,55.400002,-30.500001,36.000001,55.0490530267877,16.1434035838269,55.0490530267877,17.0783792191494,3.44121947648546e-06,32.8391178134987
44,PERFORM2019:GEN:31:1,45,31,20031,native_generation,F,exact_source_region,1,0.972636877825075,0.0541556043931594,0.2,1,-0.6,0.7,0.972637678911467,0.0506954022257554,0.972637678911467,-0.00236629030302969,8.01086391555295e-07,-0.0565218946961891
45,PERFORM2019:GEN:31:2,46,31,20031,native_generation,F,exact_source_region,1,0.972636877825075,0.0541556043931594,0.2,1,-0.6,0.7,0.972637678911467,0.0506954022257554,0.972637678911467,-0.00236629030302969,8.01086391555295e-07,-0.0565218946961891
46,PERFORM2019:GEN:31:3,47,31,20031,native_generation,F,exact_source_region,1,2.54682530073229,0.144345716165184,0.9,2.6,-1.4,1.7,2.54682733009301,0.140276123457404,2.54682733009301,0.02512653850816,2.02936072080107e-06,-0.119219177657024
47,PERFORM2019:GEN:31:4,48,31,20031,native_generation,F,exact_source_region,1,2.54682530073229,0.144345716165184,0.9,2.6,-1.4,1.7,2.54682733009301,0.140276123457404,2.54682733009301,0.02512653850816,2.02936072080107e-06,-0.119219177657024
48,PERFORM2019:GEN:31:5,49,31,20031,native_generation,F,exact_source_region,1,2.54828316140427,0.144345716165184,2.3,2.6,-1.4,1.7,2.5482854034554,0.140276123457404,2.5482854034554,0.02512653850816,2.24205112653308e-06,-0.119219177657024
49,PERFORM2019:GEN:31:6,50,31,20031,native_generation,F,exact_source_region,1,24.1135287136412,-0.352567273355938,6,24.600001,-13.500001,16,24.1135319233355,-0.164098424824803,24.1135319233355,0.0616874874571781,3.20969434852714e-06,0.414254760813116
50,PERFORM2019:GEN:31:7,51,31,20031,native_generation,F,exact_source_region,1,24.1135287136412,-0.352567273355939,6,24.600001,-13.500001,16,24.1135319233355,-0.164098424824803,24.1135319233355,0.0616874874571781,3.20969434852714e-06,0.414254760813117
51,PERFORM2019:GEN:32:C1,52,32,20032,native_generation,F,exact_source_region,1,146.981212808234,-44.9786371053103,113,147.000003,-102.900004,110.249996,146.981211785476,-28.611052513496,146.981211785476,-28.6110519438278,-1.02275782865036e-06,16.3675851614825
52,PERFORM2019:GEN:33:C1,53,33,56,native_generation,A,assumed_same_zone_source_distance_aggregation,1,56.2414381707917,-7.91399438088902,44,56.599998,-39.62,42.449999,56.2414411139723,6.46943029950176,56.2414411139723,6.47772931927976,2.94318057569853e-06,14.3917237001688
53,PERFORM2019:GEN:34:C1,54,34,50,native_generation,C,assumed_same_zone_source_distance_aggregation,1,57.0363701076386,-21.1870375272137,44.499999,57.4,-40.180001,43.05,57.036373042341,0.883815473707411,57.036373042341,-4.67335032832677,2.93470235845916e-06,16.513687198887
54,PERFORM2019:GEN:35:1,55,35,20035,native_generation,D,exact_source_region,1,3.13583804080977,0.132240958460205,0,3.2,-1.8,2.1,3.13584027312972,0.0815989459853589,3.13584027312972,0.0343458849416328,2.23231995200024e-06,-0.0978950735185723
55,PERFORM2019:GEN:35:2,56,35,20035,native_generation,D,exact_source_region,1,3.13583804080977,0.132240958460205,0,3.2,-1.8,2.1,3.13584027312972,0.0815989459853589,3.13584027312972,0.0343458849416328,2.23231995200024e-06,-0.0978950735185723
56,PERFORM2019:GEN:35:3,57,35,20035,native_generation,D,exact_source_region,1,3.92059070529038,0.164497684067799,0,4,-2.2,2.6,3.92059315066826,0.0911920403428404,3.92059315066826,0.0576564737743171,2.44537787974508e-06,-0.106841210293482
57,PERFORM2019:GEN:35:4,58,35,20035,native_generation,D,exact_source_region,1,3.92059070529038,0.164497684067799,0,4,-2.2,2.6,3.92059315066826,0.0911920403428404,3.92059315066826,0.0576564737743171,2.44537787974508e-06,-0.106841210293482
58,PERFORM2019:GEN:35:5,59,35,20035,native_generation,D,exact_source_region,1,5.88134313371389,0.197349152151612,0,6,-3.3,3.9,5.88134587639052,0.0400418257537856,5.88134587639052,0.086484710661476,2.74267662980776e-06,-0.110864441490136
59,PERFORM2019:GEN:35:6,60,35,20035,native_generation,D,exact_source_region,1,6.86158340677929,0.199733435367945,0,7,-3.9,4.6,6.86158623545502,-0.0172013309559772,6.86158623545502,0.097933338975353,2.82867573098144e-06,-0.101800096392592
60,PERFORM2019:GEN:37:C1,61,37,57,native_generation,A,assumed_same_zone_source_distance_aggregation,1,190.435225924654,-21.1401214868623,103.999996,221.300006,-154.910004,165.974998,190.435229088434,19.7422156381678,190.435229088434,19.7422153396596,3.1637802919704e-06,40.8823368265219
61,PERFORM2019:GEN:38:1,62,38,61,native_generation,A,assumed_same_zone_source_distance_aggregation,1,99.8632776570107,-9.6432106280634,0,100.5,-55.299997,70.4,99.8632806183167,-2.76836066697466,99.8632806183167,-2.78539199539184,2.96130596666444e-06,6.85781863267156
62,PERFORM2019:GEN:39:1,63,39,60,native_generation,A,assumed_same_zone_source_distance_aggregation,1,125.201699783802,-27.282108112803,0,125.999999,-69.300002,88.200003,125.201702797743,-8.05039024722505,125.201702797743,-8.05038620245095,3.01394054247339e-06,19.231721910352
