source_branch_row,model_branch_row,device_key,from_in_exact_region,to_in_exact_region
1120,528,PERFORM2019:AC:549:739:2,1,1
1121,529,PERFORM2019:AC:550:1164:1,1,1
1122,530,PERFORM2019:AC:550:1164:2,1,1
1123,531,PERFORM2019:AC:550:1165:1,1,1
1124,532,PERFORM2019:AC:550:1165:2,1,1
1125,533,PERFORM2019:AC:550:1170:1,1,1
1126,534,PERFORM2019:XFMR:550:1489:1,1,1
1127,535,PERFORM2019:XFMR:550:1489:2,1,1
1128,536,PERFORM2019:AC:551:1539:1,1,1
1129,537,PERFORM2019:AC:551:1539:2,1,1
1130,538,PERFORM2019:AC:552:608:1,1,1
1131,539,PERFORM2019:AC:552:608:2,1,1
1132,540,PERFORM2019:AC:552:1141:1,1,1
1133,541,PERFORM2019:XFMR:552:1490:1,1,1
1134,542,PERFORM2019:AC:553:842:1,1,1
1135,543,PERFORM2019:AC:553:842:2,1,1
1136,544,PERFORM2019:AC:553:1144:1,1,1
1137,545,PERFORM2019:AC:553:1144:2,1,1
1138,546,PERFORM2019:AC:554:555:1,1,1
1139,547,PERFORM2019:AC:554:608:1,1,1
1140,548,PERFORM2019:AC:554:1164:1,1,1
1141,549,PERFORM2019:AC:554:1164:2,1,1
1142,550,PERFORM2019:AC:554:1164:3,1,1
1143,551,PERFORM2019:XFMR:554:1491:1,1,1
1144,552,PERFORM2019:AC:555:608:1,1,1
1145,553,PERFORM2019:AC:555:1144:1,1,1
1146,554,PERFORM2019:XFMR:555:1492:1,1,1
1147,555,PERFORM2019:AC:556:595:1,1,1
1148,556,PERFORM2019:AC:556:595:2,1,1
1149,557,PERFORM2019:AC:556:597:1,1,1
1150,558,PERFORM2019:AC:556:629:1,1,1
1151,559,PERFORM2019:AC:556:629:2,1,1
1152,560,PERFORM2019:XFMR:557:1493:1,1,1
1153,561,PERFORM2019:XFMR:557:1493:2,1,1
1154,562,PERFORM2019:AC:558:994:1,1,1
1155,563,PERFORM2019:AC:559:997:1,1,1
1156,564,PERFORM2019:AC:559:997:2,1,1
1157,565,PERFORM2019:AC:559:1467:1,1,1
1158,566,PERFORM2019:AC:559:1467:2,1,1
1159,567,PERFORM2019:AC:560:593:1,1,1
1160,568,PERFORM2019:XFMR:560:1494:1,1,1
