source_bus,model_bus,device_key,base_kv,source_vm_pu,regional_vm_pu,delta_vm_pu,source_va_deg,regional_va_deg,source_va_aligned_deg,regional_va_aligned_deg,delta_va_deg
32,20032,PERFORM2019:BUS:32,115,1.01402807706936,1.05107169577322,0.037043618703865,6.46310898695794,5.95915075009585,6.46310898695794,5.95915075009585,-0.503958236862076
35,20035,PERFORM2019:BUS:35,115,1.01640290178911,1.05215260504891,0.0357497032598006,14.5541217953587,13.6358970238276,14.5541217953587,13.6358970238276,-0.918224771531186
36,20036,PERFORM2019:BUS:36,115,1.01635264635099,1.0520919716913,0.0357393253403075,14.5860932868558,13.6658889292691,14.5860932868558,13.6658889292691,-0.920204357586641
40,20040,PERFORM2019:BUS:40,115,1.04466971217509,1.07281843849807,0.028148726322982,24.9825858454011,23.1836254848112,24.9825858454011,23.1836254848112,-1.79896036058983
49,20049,PERFORM2019:BUS:49,115,0.998397185792664,1.03910699367528,0.0407098078826177,4.75951910094204,1.52315230337885,4.75951910094204,1.52315230337885,-3.23636679756319
50,20050,PERFORM2019:BUS:50,115,1.01536559717268,1.04109086796633,0.0257252707936511,20.9068110940144,16.7670204357133,20.9068110940144,16.7670204357133,-4.13979065830108
59,20059,PERFORM2019:BUS:59,115,1.03118220435049,1.07142153977425,0.0402393354237642,19.0516310311889,13.1910873486001,19.0516310311889,13.1910873486001,-5.86054368258877
60,20060,PERFORM2019:BUS:60,69,1.03938075951612,1.06614415910025,0.0267633995841334,0.766234318277436,1.01633513877601,0.766234318277436,1.01633513877601,0.250100820498574
62,20062,PERFORM2019:BUS:62,345,1.06296118664947,1.09256617781802,0.0296049911685456,7.22052425013095,6.96774202098037,7.22052425013095,6.96774202098037,-0.252782229150569
63,20063,PERFORM2019:BUS:63,345,1.06297426991486,1.09257248846775,0.0295982185528851,7.23501198375017,6.9816494023553,7.23501198375017,6.9816494023553,-0.253362581394867
64,20064,PERFORM2019:BUS:64,115,1.00777383182771,1.03910364511762,0.0313298132899058,18.4866832256339,12.6537173538151,18.4866832256339,12.6537173538151,-5.83296587181889
79,20079,PERFORM2019:BUS:79,345,1.0748228256732,1.0846088015582,0.00978597588499519,-12.6933985357597,-12.0851697705499,-12.6933985357597,-12.0851697705499,0.608228765209788
80,20080,PERFORM2019:BUS:80,115,1.01750995310416,1.05854827135362,0.0410383182494576,20.1887627253247,9.18647836696931,20.1887627253247,9.18647836696931,-11.0022843583554
82,20082,PERFORM2019:BUS:82,115,1.01474460530676,1.06086810972966,0.0461235044228916,8.40807999420027,6.90230130717205,8.40807999420027,6.90230130717205,-1.50577868702823
83,20083,PERFORM2019:BUS:83,115,1.03145325762955,1.07224610698774,0.0407928493581926,19.1033636175881,13.2316887265635,19.1033636175881,13.2316887265635,-5.87167489102458
84,20084,PERFORM2019:BUS:84,115,1.01466866212055,1.05104646934908,0.0363778072285239,6.33183286117371,5.84638148614008,6.33183286117371,5.84638148614008,-0.48545137503362
125,20125,PERFORM2019:BUS:125,115,1.04179120265599,1.05971726478333,0.0179260621273447,27.5700410427201,24.9954057244621,27.5700410427201,24.9954057244621,-2.57463531825809
126,20126,PERFORM2019:BUS:126,115,1.04177990990117,1.05972106675106,0.0179411568498979,27.5410447585295,24.9637127822725,27.5410447585295,24.9637127822725,-2.57733197625706
127,20127,PERFORM2019:BUS:127,115,1.03403471153277,1.0720479473268,0.0380132357940324,7.08472863286183,6.6088446704812,7.08472863286183,6.6088446704812,-0.475883962380635
168,20168,PERFORM2019:BUS:168,115,1.0097635709062,1.04184207328613,0.0320785023799346,12.1691155043238,-0.381688341923281,12.1691155043238,-0.381688341923281,-12.550803846247
186,20186,PERFORM2019:BUS:186,115,1.05085602864749,1.0794177253589,0.0285616967114095,3.49786409381642,4.25580648579516,3.49786409381642,4.25580648579516,0.757942391978759
187,20187,PERFORM2019:BUS:187,115,1.04645047515206,1.07641361448441,0.0299631393323485,4.26331207428105,5.35886404563127,4.26331207428105,5.35886404563127,1.09555197135023
188,20188,PERFORM2019:BUS:188,115,1.01735399020033,1.04853468177065,0.0311806915703199,-2.66448854459433,-2.54814013688852,-2.66448854459433,-2.54814013688852,0.1163484077058
189,20189,PERFORM2019:BUS:189,115,1.02633704113459,1.05674618259567,0.030409141461077,0.0882542457420452,0.0487506620701773,0.0882542457420452,0.0487506620701773,-0.0395035836718591
190,20190,PERFORM2019:BUS:190,115,1.02306902355101,1.05579068296801,0.0327216594170032,18.8448444952326,17.521209907225,18.8448444952326,17.521209907225,-1.32363458800756
191,20191,PERFORM2019:BUS:191,115,1.00821283562725,1.04423437903449,0.0360215434072433,13.1694257280993,12.3549717810578,13.1694257280993,12.3549717810578,-0.814453947041528
192,20192,PERFORM2019:BUS:192,115,1.01564357968125,1.05105731728667,0.035413737605422,16.0871324312982,15.0956295278807,16.0871324312982,15.0956295278807,-0.99150290341754
193,20193,PERFORM2019:BUS:193,115,1.01225533437735,1.04763412883921,0.0353787944618662,16.0144774397777,15.0410945419152,16.0144774397777,15.0410945419152,-0.973382897862479
