model_gen_row,device_key,source_gen_row,source_bus,model_bus,source_device_role,zone,mapping_kind,status,prior_pg_mw,prior_qg_mvar,pmin_mw,pmax_mw,qmin_mvar,qmax_mvar
135,PERFORM2019:GEN:284:2,138,284,56,native_generation,A,assumed_same_zone_source_distance_aggregation,1,24.8416285354274,-1.75944086165991,3,25,-13.8,17.5
136,PERFORM2019:GEN:317:C1,139,317,56,native_generation,A,assumed_same_zone_source_distance_aggregation,1,59.5205265518282,-12.5825118911316,40.000001,59.899998,-41.929999,44.925001
137,PERFORM2019:GEN:339:1,140,339,72,native_generation,C,assumed_same_zone_source_distance_aggregation,1,39.2497835559749,-7.90821848234255,3.5,39.500001,-21.699999,27.700001
138,PERFORM2019:GEN:357:1,141,357,51,native_generation,C,assumed_same_zone_source_distance_aggregation,1,877.703067580082,-78.585219393725,661.999989,883.300018,-485.79998,618.300009
139,PERFORM2019:GEN:358:C3,142,358,50,native_generation,C,assumed_same_zone_source_distance_aggregation,1,542.534590570891,-40.9937778761515,225,542.89999,-380.029988,407.175016
140,PERFORM2019:GEN:358:C4,143,358,50,native_generation,C,assumed_same_zone_source_distance_aggregation,1,543.174422252733,-41.0438554006813,225,543.200016,-380.240011,407.399988
141,PERFORM2019:GEN:368:1,144,368,20368,native_generation,E,exact_source_region,1,29.8099672084739,-4.61012837961951,0.1,30.000001,-16.500001,20.999999
142,PERFORM2019:GEN:378:1,145,378,20378,native_generation,E,exact_source_region,1,3.92065191879484,0.0752681155647913,2.8,4,-2.2,2.8
143,PERFORM2019:GEN:378:2,146,378,20378,native_generation,E,exact_source_region,1,3.92065191879484,0.0752681155647913,2.8,4,-2.2,2.8
144,PERFORM2019:GEN:378:3,147,378,20378,native_generation,E,exact_source_region,1,3.92065191879484,0.0752681155647913,2.8,4,-2.2,2.8
145,PERFORM2019:GEN:381:1,148,381,20381,native_generation,E,exact_source_region,0,0,0,0.2,1.1,-0.6,0.8
146,PERFORM2019:GEN:381:C1,149,381,20381,native_generation,E,exact_source_region,1,63.7933022306425,-13.2146247047926,47,64.200002,-44.940001,48.15
