interface_name,model_flow_mw,target_flow_mw,residual_mw,absolute_residual_mw,used_in_optimizer,exact_public_operator,scenario_id,vintage,dataset_split,campaign_role,timestamp,timestamp_utc,scale_factor_gamma,actual_observed_flow_mw,model_proxy_in_observation_scale_mw,observation_scale_residual_mw,observation_scale_is_uniform_shape_rescaling,near_zero_target,normalized_absolute_error_with_100mw_floor,electrically_qualified,generation_dispatch_observed,generator_dispatch_validation_passed
West_Central,-275.881411928256,-5.55156231457317,-270.329849613683,270.329849613683,0,0,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019,training,historical_validation,2019-07-17 16:00,2019-07-17T20:00:00Z,0.371839404860896,-14.93,-741.936998397097,-727.006998397097,1,1,2.70329849613683,1,0,0
Moses_South,613.817675738446,433.103665205777,180.714010532669,180.714010532669,0,0,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019,training,historical_validation,2019-07-17 16:00,2019-07-17T20:00:00Z,0.371839404860896,1164.76,1650.76016074217,486.000160742172,1,0,0.417253477748353,1,0,0
Central_East,748.555899815027,738.354069444183,10.2018303708436,10.2018303708436,0,0,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019,training,historical_validation,2019-07-17 16:00,2019-07-17T20:00:00Z,0.371839404860896,1985.68,2013.11611956527,27.4361195652733,1,0,0.0138169894269335,1,0,0
Total_East_proxy,1341.30260965257,1272.04401205888,69.2585975936872,69.2585975936872,0,0,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019,training,historical_validation,2019-07-17 16:00,2019-07-17T20:00:00Z,0.371839404860896,3420.95,3607.20943535919,186.259435359189,1,0,0.0544466991213519,1,0,0
UPNY_ConEd,1693.74104487158,941.449033985156,752.29201088642,752.29201088642,0,0,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019,training,historical_validation,2019-07-17 16:00,2019-07-17T20:00:00Z,0.371839404860896,2531.87,4555.03376654016,2023.16376654016,1,0,0.799078849443359,1,0,0
Dunwoodie_South,1417.02046820587,787.072468269058,629.947999936816,629.947999936816,0,0,S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019,training,historical_validation,2019-07-17 16:00,2019-07-17T20:00:00Z,0.371839404860896,2116.7,3810.83997468202,1694.13997468202,1,0,0.800368486172826,1,0,0
Dysinger_East,150.051516706816,637.028170984577,-486.976654277761,486.976654277761,0,0,S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019,heldout,historical_validation,2019-07-17 08:00,2019-07-17T12:00:00Z,0.447939478799109,1422.13,334.981674553653,-1087.14832544635,1,0,0.764450736181887,1,0,0
West_Central,-332.542635519357,274.165837393783,-606.70847291314,606.70847291314,0,0,S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019,heldout,historical_validation,2019-07-17 08:00,2019-07-17T12:00:00Z,0.447939478799109,612.06,-742.382958543591,-1354.44295854359,1,0,2.21292513567884,1,0,0
Moses_South,969.988716511761,955.441470094136,14.5472464176254,14.5472464176254,0,0,S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019,heldout,historical_validation,2019-07-17 08:00,2019-07-17T12:00:00Z,0.447939478799109,2132.97,2165.44591941801,32.4759194180103,1,0,0.0152256803508771,1,0,0
Central_East,775.460446457571,1180.17718600244,-404.716739544866,404.716739544866,0,0,S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019,heldout,historical_validation,2019-07-17 08:00,2019-07-17T12:00:00Z,0.447939478799109,2634.68,1731.17236403569,-903.507635964305,1,0,0.342928794375144,1,0,0
Total_East_proxy,1098.78137934672,2589.60083846468,-1490.81945911796,1490.81945911796,0,0,S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019,heldout,historical_validation,2019-07-17 08:00,2019-07-17T12:00:00Z,0.447939478799109,5781.14,2452.96838379254,-3328.17161620746,1,0,0.575694692778148,1,0,0
UPNY_ConEd,1448.51737712732,1739.7745386818,-291.257161554482,291.257161554482,0,0,S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019,heldout,historical_validation,2019-07-17 08:00,2019-07-17T12:00:00Z,0.447939478799109,3883.95,3233.7345683633,-650.215431636701,1,0,0.167410865648811,1,0,0
Dunwoodie_South,1379.58804057164,1787.86084173088,-408.272801159241,408.272801159241,0,0,S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019,heldout,historical_validation,2019-07-17 08:00,2019-07-17T12:00:00Z,0.447939478799109,3991.3,3079.85365404767,-911.446345952334,1,0,0.228358265716016,1,0,0
Dysinger_East,191.959863486536,645.11924763069,-453.159384144154,453.159384144154,0,0,S6_2019_LOW_TOTAL_EAST_PUBLIC,2019,heldout,historical_validation,2019-07-27 02:00,2019-07-27T06:00:00Z,0.643760912106146,1002.11,298.185024714401,-703.924975285599,1,0,0.70244282093343,1,0,0
West_Central,-280.012297248382,381.666531960371,-661.678829208752,661.678829208752,0,0,S6_2019_LOW_TOTAL_EAST_PUBLIC,2019,heldout,historical_validation,2019-07-27 02:00,2019-07-27T06:00:00Z,0.643760912106146,592.87,-434.963185839112,-1027.83318583911,1,0,1.73365693295176,1,0,0
Moses_South,357.863958003603,450.819329138813,-92.9553711352096,92.9553711352096,0,0,S6_2019_LOW_TOTAL_EAST_PUBLIC,2019,heldout,historical_validation,2019-07-27 02:00,2019-07-27T06:00:00Z,0.643760912106146,700.29,555.895754578832,-144.394245421168,1,0,0.206192071029385,1,0,0
Central_East,288.458859293174,951.414252001673,-662.955392708498,662.955392708498,0,0,S6_2019_LOW_TOTAL_EAST_PUBLIC,2019,heldout,historical_validation,2019-07-27 02:00,2019-07-27T06:00:00Z,0.643760912106146,1477.9,448.083836512292,-1029.81616348771,1,0,0.69681044961615,1,0,0
Total_East_proxy,688.106475637498,1420.40695168924,-732.300476051744,732.300476051744,0,0,S6_2019_LOW_TOTAL_EAST_PUBLIC,2019,heldout,historical_validation,2019-07-27 02:00,2019-07-27T06:00:00Z,0.643760912106146,2206.42,1068.88514462034,-1137.53485537966,1,0,0.515556809392438,1,0,0
UPNY_ConEd,1256.80430700444,1535.38908820052,-278.584781196083,278.584781196083,0,0,S6_2019_LOW_TOTAL_EAST_PUBLIC,2019,heldout,historical_validation,2019-07-27 02:00,2019-07-27T06:00:00Z,0.643760912106146,2385.03,1952.28427723678,-432.745722763218,1,0,0.181442465194659,1,0,0
Dunwoodie_South,1305.05943423224,1786.6940354594,-481.634601227161,481.634601227161,0,0,S6_2019_LOW_TOTAL_EAST_PUBLIC,2019,heldout,historical_validation,2019-07-27 02:00,2019-07-27T06:00:00Z,0.643760912106146,2775.4,2027.24242756922,-748.157572430783,1,0,0.269567475834396,1,0,0
