source_bus,model_bus,zone,mapping_kind,allocation_anchor_source_bus,source_path_impedance_distance_pu,source_base_kv,is_external_boundary_proxy
1455,41,F,assumed_same_zone_source_distance_aggregation,1507,0.339794790582666,69,0
1456,21456,J,exact_source_region,1456,0,138,0
1457,21457,J,exact_source_region,1457,0,138,0
1458,53,B,assumed_same_zone_source_distance_aggregation,128,0.161380806324384,115,0
1459,68,C,assumed_same_zone_source_distance_aggregation,1460,0.00431001160091246,115,0
1460,68,C,assumed_same_zone_source_distance_aggregation,1460,0,115,0
1461,50,C,assumed_same_zone_source_distance_aggregation,34,0.0171114845795646,115,0
1462,50,C,assumed_same_zone_source_distance_aggregation,34,0.0166700097784717,115,0
1463,44,E,assumed_same_zone_source_distance_aggregation,1287,0.173712452865349,115,0
1464,44,E,assumed_same_zone_source_distance_aggregation,1287,0.173700479391759,115,0
1465,68,C,assumed_same_zone_source_distance_aggregation,1172,0.091750267691246,115,0
1466,68,C,assumed_same_zone_source_distance_aggregation,1172,0.091710267691246,115,0
1467,21467,K,exact_source_region,1467,0,69,0
1468,21468,J,exact_source_region,1468,0,138,0
1469,56,A,assumed_same_zone_source_distance_aggregation,33,0.0453506560040756,115,0
1470,72,C,assumed_same_zone_source_distance_aggregation,1250,0.0683843546457466,115,0
1471,56,A,assumed_same_zone_source_distance_aggregation,33,0.201108475566151,69,0
1472,53,B,assumed_same_zone_source_distance_aggregation,250,0.259324093960138,69,0
1473,72,C,assumed_same_zone_source_distance_aggregation,1473,0,115,0
1474,58,A,assumed_same_zone_source_distance_aggregation,1246,0.0627209281572076,115,0
1475,58,A,assumed_same_zone_source_distance_aggregation,1246,0.0671452473138689,115,0
1476,58,A,assumed_same_zone_source_distance_aggregation,1246,0.076042279277401,115,0
1477,50,C,assumed_same_zone_source_distance_aggregation,1237,0.0729784866571467,115,0
1478,68,C,assumed_same_zone_source_distance_aggregation,27,0.0194543922887399,115,0
1479,51,C,assumed_same_zone_source_distance_aggregation,357,0.0524034350019157,115,0
1480,41,F,assumed_same_zone_source_distance_aggregation,1507,0.226427531626983,69,0
1481,21481,E,exact_source_region,1481,0,69,0
1482,21482,G,exact_source_region,1482,0,69,0
1483,21483,G,exact_source_region,1483,0,69,0
1484,21484,G,exact_source_region,1484,0,69,0
