hour_index,timestamp,max_internal_branch_error_mw,max_interface_error_mw,max_angle_error_deg,max_native_solved_pg_error_mw,max_nodal_residual_mw,passed
4259,2019-06-27T10:00:00,6.423306331271306e-12,7.275957614183426e-12,2.8421709430404007e-13,1.0459189070388675e-11,9.258371846954105e-12,True
4260,2019-06-27T11:00:00,6.59383658785373e-12,7.389644451905042e-12,2.2737367544323206e-13,7.503331289626658e-12,5.7553961596568115e-12,True
4261,2019-06-27T12:00:00,7.275957614183426e-12,9.663381206337363e-12,3.268496584496461e-13,1.432454155292362e-11,6.792788553866558e-12,True
4262,2019-06-27T13:00:00,8.071765478234738e-12,7.503331289626658e-12,1.8474111129762605e-13,4.092726157978177e-12,5.343281372915953e-12,True
4263,2019-06-27T14:00:00,5.7980287238024175e-12,9.038103598868474e-12,2.1316282072803006e-13,3.637978807091713e-12,4.803268893738277e-12,True
4264,2019-06-27T15:00:00,8.526512829121202e-12,9.094947017729282e-12,3.410605131648481e-13,1.2391865311656147e-11,7.65965069149388e-12,True
4265,2019-06-27T16:00:00,7.73070496506989e-12,6.764366844436154e-12,2.4158453015843406e-13,6.59383658785373e-12,7.332801033044234e-12,True
4266,2019-06-27T17:00:00,7.275957614183426e-12,6.252776074688882e-12,2.1316282072803006e-13,5.002220859751105e-12,1.0018652574217413e-11,True
4267,2019-06-27T18:00:00,7.958078640513122e-12,9.208633855450898e-12,2.5579538487363607e-13,7.958078640513122e-12,1.1624479157035239e-11,True
4268,2019-06-27T19:00:00,8.981260180007666e-12,1.1596057447604835e-11,2.4158453015843406e-13,4.774847184307873e-12,6.0538241086760536e-12,True
4269,2019-06-27T20:00:00,6.366462912410498e-12,8.753886504564434e-12,2.5579538487363607e-13,7.389644451905042e-12,8.483880264975596e-12,True
4270,2019-06-27T21:00:00,5.9685589803848416e-12,6.764366844436154e-12,2.1316282072803006e-13,6.480149750132114e-12,9.00968188943807e-12,True
4271,2019-06-27T22:00:00,8.071765478234738e-12,9.549694368615746e-12,1.9895196601282805e-13,5.5706550483591855e-12,1.0317080523236655e-11,True
4272,2019-06-27T23:00:00,6.821210263296962e-12,7.617018127348274e-12,2.984279490192421e-13,7.503331289626658e-12,7.65965069149388e-12,True
4273,2019-06-28T00:00:00,4.945377440890297e-12,8.981260180007666e-12,2.2737367544323206e-13,5.4569682106375694e-12,5.002220859751105e-12,True
4274,2019-06-28T01:00:00,5.6843418860808015e-12,9.15179043659009e-12,3.268496584496461e-13,9.322320693172514e-12,7.034373084024992e-12,True
4275,2019-06-28T02:00:00,5.201172825763933e-12,8.640199666842818e-12,2.5579538487363607e-13,7.73070496506989e-12,7.474909580196254e-12,True
4276,2019-06-28T03:00:00,3.865352482534945e-12,5.5706550483591855e-12,1.5631940186722204e-13,2.6147972675971687e-12,3.247180302423658e-12,True
4277,2019-06-28T04:00:00,5.9685589803848416e-12,5.6843418860808015e-12,2.1316282072803006e-13,4.376943252282217e-12,6.423306331271306e-12,True
4278,2019-06-28T05:00:00,5.9117155615240335e-12,8.185452315956354e-12,2.1316282072803006e-13,5.343281372915953e-12,8.29913915367797e-12,True
4279,2019-06-28T06:00:00,4.206412995699793e-12,5.4569682106375694e-12,2.0605739337042905e-13,6.59383658785373e-12,3.922195901395753e-12,True
4280,2019-06-28T07:00:00,4.177991286269389e-12,4.376943252282217e-12,1.3500311979441904e-13,2.7284841053187847e-12,6.316724920907291e-12,True
4281,2019-06-28T08:00:00,4.789058039023075e-12,7.16227077646181e-12,2.2737367544323206e-13,2.2737367544323206e-12,6.849631972727366e-12,True
4282,2019-06-28T09:00:00,4.490630090003833e-12,5.343281372915953e-12,1.7763568394002505e-13,4.774847184307873e-12,4.263256414560601e-12,True
4283,2019-06-28T10:00:00,5.5138116294983774e-12,5.115907697472721e-12,1.8474111129762605e-13,5.9117155615240335e-12,3.410605131648481e-12,True
4284,2019-06-28T11:00:00,4.774847184307873e-12,5.087485988042317e-12,1.4210854715202004e-13,2.7284841053187847e-12,3.950617610826157e-12,True
4285,2019-06-28T12:00:00,4.774847184307873e-12,5.115907697472721e-12,2.1316282072803006e-13,6.139089236967266e-12,7.361222742474638e-12,True
4286,2019-06-28T13:00:00,5.8548721426632255e-12,6.59383658785373e-12,2.2026824808563106e-13,4.320099833421409e-12,7.418066161335446e-12,True
4287,2019-06-28T14:00:00,6.934897101018578e-12,4.547473508864641e-12,1.7763568394002505e-13,4.320099833421409e-12,5.9117155615240335e-12,True
4288,2019-06-28T15:00:00,7.44648787076585e-12,7.048583938740194e-12,1.7763568394002505e-13,1.8189894035458565e-12,1.0842882147699129e-11,True
4289,2019-06-28T16:00:00,5.5706550483591855e-12,1.0686562745831907e-11,2.5579538487363607e-13,4.774847184307873e-12,8.313350008393172e-12,True
4290,2019-06-28T17:00:00,6.0538241086760536e-12,5.5706550483591855e-12,2.1316282072803006e-13,5.4569682106375694e-12,7.958078640513122e-12,True
4291,2019-06-28T18:00:00,5.7411853049416095e-12,8.185452315956354e-12,2.4158453015843406e-13,4.092726157978177e-12,4.817479748453479e-12,True
4292,2019-06-28T19:00:00,5.5706550483591855e-12,4.320099833421409e-12,1.4210854715202004e-13,2.1600499167107046e-12,5.6274984672199935e-12,True
4293,2019-06-28T20:00:00,4.234834705130197e-12,5.8548721426632255e-12,1.9184653865522705e-13,4.433786671143025e-12,4.689582056016661e-12,True
4294,2019-06-28T21:00:00,3.808509063674137e-12,4.774847184307873e-12,1.7053025658242404e-13,3.069544618483633e-12,7.567280135845067e-12,True
4295,2019-06-28T22:00:00,5.5706550483591855e-12,6.565414878423326e-12,1.8474111129762605e-13,3.296918293926865e-12,3.524291969370097e-12,True
4296,2019-06-28T23:00:00,4.291678123991005e-12,4.234834705130197e-12,1.7053025658242404e-13,2.0463630789890885e-12,4.924061158817494e-12,True
4297,2019-06-29T00:00:00,5.5706550483591855e-12,7.389644451905042e-12,1.9895196601282805e-13,4.092726157978177e-12,7.410960733977845e-12,True
4298,2019-06-29T01:00:00,6.252776074688882e-12,8.071765478234738e-12,2.7000623958883807e-13,5.7980287238024175e-12,5.4001247917767614e-12,True
4299,2019-06-29T02:00:00,5.115907697472721e-12,5.8548721426632255e-12,2.2737367544323206e-13,5.9117155615240335e-12,9.066525308298878e-12,True
4300,2019-06-29T03:00:00,6.423306331271306e-12,5.343281372915953e-12,2.1316282072803006e-13,5.343281372915953e-12,1.021760454023024e-11,True
4301,2019-06-29T04:00:00,5.5706550483591855e-12,8.753886504564434e-12,2.5579538487363607e-13,6.707523425575346e-12,4.192202140984591e-12,True
4302,2019-06-29T05:00:00,5.002220859751105e-12,6.707523425575346e-12,2.1316282072803006e-13,5.6843418860808015e-12,6.252776074688882e-12,True
4303,2019-06-29T06:00:00,7.275957614183426e-12,8.185452315956354e-12,2.7000623958883807e-13,6.707523425575346e-12,6.856737400084967e-12,True
4304,2019-06-29T07:00:00,6.679101716144942e-12,9.43600753089413e-12,2.984279490192421e-13,6.139089236967266e-12,5.357492227631155e-12,True
4305,2019-06-29T08:00:00,7.048583938740194e-12,6.906475391588174e-12,2.7000623958883807e-13,7.503331289626658e-12,1.0096812275151024e-11,True
4306,2019-06-29T09:00:00,6.480149750132114e-12,9.890754881780595e-12,2.984279490192421e-13,9.094947017729282e-12,7.858602657506708e-12,True
4307,2019-06-29T10:00:00,6.707523425575346e-12,6.0254023992456496e-12,1.9895196601282805e-13,4.092726157978177e-12,5.5138116294983774e-12,True
