source_excel_row,facility_id,unit_id,nyiso_name,nyiso_ptid,zone,epa_facility_name,source_id,source_sha256
60,52056,4,Nassau Energy Corporation,323695,K,Nassau Energy Corporation,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
61,2682,20,Jamestown 5,1658,A,S A Carlson,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
62,2682,20,Jamestown 6,1658,A,S A Carlson,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
63,2682,20,Jamestown 7,1659,A,S A Carlson,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
64,2628,1,Hillburn GT,23639,G,Hillburn,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
65,2632,1,Shoemaker GT,23640,G,Shoemaker,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
66,7915,NO1,Kent,24152,J,North 1st,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
67,8053,PT01,Pouch,24155,J,Pouch Terminal,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
68,7910,2301,Gowanus 5,24156,J,23rd and 3rd,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
69,7910,2302,Gowanus 6,24157,J,23rd and 3rd,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
70,7913,HG01,Hellgate 1,24158,J,Hell Gate,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
71,7913,HG02,Hellgate 2,24159,J,Hell Gate,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
72,7914,HR01,Harlem River 1,24160,J,Harlem River Yard,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
73,7914,HR02,Harlem River 2,24161,J,Harlem River Yard,NYGRID:2019:thermalGenMatched,dbf3542eea2250305ec3139a6d125e96dc4f6c67923fb87c027123812363296f
